City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,souillac,-20.5167,57.5167,26.21,89,40,0.51,MU,1679250381
85,avarua,-21.2078,-159.775,26.03,89,40,2.57,CK,1679250282
86,port alfred,-33.5906,26.891,23.43,85,97,3.13,ZA,1679250264
87,saint-philippe,-21.3585,55.7679,26.77,81,73,0.93,RE,1679250383
88,thompson,55.7435,-97.8558,-13.91,66,75,5.14,CA,1679250383
89,ancud,-41.8697,-73.8203,14.48,58,44,3.12,CL,1679250384
90,preobrazheniye,42.9019,133.9064,1.91,62,0,3.48,RU,1679250385
91,chuy,-33.6971,-53.4616,29.47,57,30,1.69,UY,1679250385
92,namibe,-15.1961,12.1522,24.06,84,100,4.38,AO,1679250386
93,cockburn town,21.4612,-71.1419,25.2,68,3,6.42,TC,1679250386
94,georgetown,5.4112,100.3354,28.86,88,20,1.03,MY,1679250225
95,najran,17.4924,44.1277,24.36,41,38,6.68,SA,1679250387
96,okhotsk,59.3833,143.3,-13.4,92,97,4.65,RU,1679250388
97,hay river,60.8156,-115.7999,-9.02,73,20,4.63,CA,1679250392
98,cidreira,-30.1811,-50.2056,26.17,65,100,4.22,BR,1679250393
99,wiarton,44.7407,-81.1332,-0.34,64,100,7.72,CA,1679250394
100,hithadhoo,-0.6,73.0833,27.8,76,100,2.18,MV,1679250295
101,mount isa,-20.7333,139.5,23.87,69,34,2.57,AU,1679250394
102,mokrousovo,55.8103,66.7653,-11.34,89,47,2.89,RU,1679250395
103,haines junction,60.7522,-137.5108,0.97,80,100,0.51,CA,1679250396
104,kapaa,22.0752,-159.319,22.83,87,100,4.63,US,1679250396
105,aljezur,37.3191,-8.8033,16.0,71,35,4.37,PT,1679250397
106,mbandaka,0.0487,18.2603,21.88,93,99,0.76,CD,1679250397
107,wanaka,-44.7,169.15,13.66,91,100,3.49,NZ,1679250398
108,lasa,46.6166,10.7002,10.49,97,100,1.14,IT,1679250398
109,mar del plata,-38.0023,-57.5575,23.01,78,100,4.12,AR,1679250264
110,tiksi,71.6872,128.8694,-26.9,96,100,6.44,RU,1679250336
111,kourou,5.1552,-52.6478,30.03,63,68,4.48,GF,1679250399
112,luderitz,-26.6481,15.1594,17.12,86,91,1.12,NA,1679250400
113,laje,-10.1833,-40.9667,31.1,35,49,0.17,BR,1679250400
114,carutapera,-1.195,-46.02,27.59,76,48,2.63,BR,1679250401
115,sarakhs,36.5449,61.1577,15.94,53,16,2.75,IR,1679250401
116,bethel,41.3712,-73.414,3.99,40,40,7.72,US,1679250402
117,cape town,-33.9258,18.4232,19.51,75,40,6.69,ZA,1679250301
118,port macquarie,-31.4333,152.9167,18.27,90,8,4.94,AU,1679250402
119,halifax,44.6453,-63.5724,6.38,58,33,11.32,CA,1679250299
120,rafaela,-31.2503,-61.4867,36.66,31,65,1.79,AR,1679250403
121,lata,40.1629,-8.3327,15.6,70,92,1.85,PT,1679250403
122,santa rosa,14.3122,121.1114,25.99,74,53,4.15,PH,1679250251
123,oyama,36.3,139.8,10.33,54,33,2.22,JP,1679250405
124,tierranueva,21.6833,-100.5667,9.25,76,98,3.24,MX,1679250405
125,owando,-0.4819,15.8999,21.69,87,94,1.01,CG,1679250406
126,bengkulu,-3.8004,102.2655,24.36,91,100,2.08,ID,1679250407
127,klaksvik,62.2266,-6.589,3.51,62,99,2.54,FO,1679250407
128,biak,-0.9131,122.8766,24.76,87,64,0.82,ID,1679250407
